2023-10-22 08:38:18 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:41:18 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:44:18 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:47:19 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 08:50:19 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 08:53:19 - CPU Usage: 6.2%, Memory Usage: 7.3%
2023-10-22 08:56:20 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 08:59:20 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:02:20 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:05:21 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:08:21 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:11:21 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:14:22 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:17:22 - CPU Usage: 6.7%, Memory Usage: 7.3%
2023-10-22 09:20:22 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:23:23 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:26:23 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:29:23 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:32:23 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:35:24 - CPU Usage: 6.7%, Memory Usage: 7.3%
2023-10-22 09:38:24 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:41:24 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:44:25 - CPU Usage: 6.2%, Memory Usage: 7.3%
2023-10-22 09:47:25 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:50:25 - CPU Usage: 0.0%, Memory Usage: 7.3%
2023-10-22 09:53:26 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 09:56:26 - CPU Usage: 6.7%, Memory Usage: 7.4%
2023-10-22 09:59:26 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:02:27 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:05:27 - CPU Usage: 6.7%, Memory Usage: 7.4%
2023-10-22 10:08:27 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:11:28 - CPU Usage: 6.7%, Memory Usage: 7.4%
2023-10-22 10:14:28 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:17:28 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:20:29 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:23:29 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:26:29 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:29:30 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:32:30 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:35:30 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:38:31 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:41:31 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:44:31 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:47:32 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:50:32 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:53:32 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:56:32 - CPU Usage: 0.0%, Memory Usage: 7.4%
2023-10-22 10:59:33 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:02:33 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:05:33 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:08:34 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:11:34 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:14:34 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:17:35 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:20:35 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:23:35 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:26:36 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:29:36 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:32:36 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:35:37 - CPU Usage: 6.7%, Memory Usage: 7.5%
2023-10-22 11:38:37 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:41:37 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:44:38 - CPU Usage: 6.2%, Memory Usage: 7.5%
2023-10-22 11:47:38 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:50:38 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:53:39 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:56:39 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 11:59:39 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 12:02:40 - CPU Usage: 0.0%, Memory Usage: 7.5%
2023-10-22 12:05:40 - CPU Usage: 6.7%, Memory Usage: 7.5%
2023-10-22 12:08:40 - CPU Usage: 6.7%, Memory Usage: 7.6%
2023-10-22 12:11:41 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:14:41 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:17:41 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:20:41 - CPU Usage: 6.7%, Memory Usage: 7.6%
2023-10-22 12:23:42 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:26:42 - CPU Usage: 6.2%, Memory Usage: 7.6%
2023-10-22 12:29:42 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:32:43 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:35:43 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:38:43 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:41:44 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:44:44 - CPU Usage: 6.7%, Memory Usage: 7.6%
2023-10-22 12:47:44 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:50:45 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:53:45 - CPU Usage: 6.7%, Memory Usage: 7.6%
2023-10-22 12:56:45 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 12:59:46 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 13:02:46 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 13:05:46 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 13:08:47 - CPU Usage: 0.0%, Memory Usage: 7.6%
2023-10-22 13:11:47 - CPU Usage: 6.7%, Memory Usage: 7.6%
2023-10-22 13:14:47 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:17:48 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:20:48 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:23:48 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:26:49 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:29:49 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:32:49 - CPU Usage: 6.7%, Memory Usage: 7.7%
2023-10-22 13:35:50 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:38:50 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:41:50 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:44:50 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:47:51 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:50:51 - CPU Usage: 6.7%, Memory Usage: 7.7%
2023-10-22 13:53:51 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:56:52 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 13:59:52 - CPU Usage: 6.7%, Memory Usage: 7.7%
2023-10-22 14:02:52 - CPU Usage: 6.7%, Memory Usage: 7.7%
2023-10-22 14:05:53 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 14:08:53 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 14:11:53 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 14:14:54 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 14:17:54 - CPU Usage: 0.0%, Memory Usage: 7.7%
2023-10-22 14:20:54 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:23:55 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:26:55 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:29:55 - CPU Usage: 6.7%, Memory Usage: 7.8%
2023-10-22 14:32:56 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:35:56 - CPU Usage: 100.0%, Memory Usage: 7.8%
2023-10-22 14:38:56 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:41:57 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:44:57 - CPU Usage: 6.7%, Memory Usage: 7.8%
2023-10-22 14:47:57 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:50:58 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:53:58 - CPU Usage: 6.7%, Memory Usage: 7.8%
2023-10-22 14:56:58 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 14:59:58 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:02:59 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:05:59 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:08:59 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:12:00 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:15:00 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:18:00 - CPU Usage: 6.7%, Memory Usage: 7.8%
2023-10-22 15:21:01 - CPU Usage: 0.0%, Memory Usage: 7.8%
